manufacturer,device, model,rssi correction,tx,calibration confidence
asus,K015,AST21,4,-25,1
asus,terra_cheets,ASUS Chromebook C202SA,4,-25,1
asus,minnie_cheets,ASUS Chromebook Flip C100PA,4,-25,1
asus,bob_cheets,ASUS Chromebook Flip C101PA,4,-25,1
asus,cave_cheets,ASUS Chromebook Flip C302,4,-25,1
asus,ASUS-K00S,ASUS K00S,4,-25,1
asus,K00X,ASUS MeMO Pad 7,4,-25,1
asus,TF300T,ASUS Pad TF300T,4,-25,1
asus,TF700T,ASUS Pad TF700T,4,-25,1
asus,ASUS-T00D,ASUS PadFone X,4,-25,1
asus,ASUS-T00S,ASUS PadFone X mini,4,-25,1
asus,P1801-T,ASUS Tablet P1801-T,4,-25,1
asus,P1802-T,ASUS Tablet P1802-T,4,-25,1
asus,TF300T,ASUS Transformer 300,4,-25,1
asus,TF300T,ASUS Transformer Pad TF300T,4,-25,1
asus,TF300TG,ASUS Transformer Pad TF300TG,4,-25,1
asus,TF300TL,ASUS Transformer Pad TF300TL,4,-25,1
asus,TF502T,ASUS Transformer Pad TF502T,4,-25,1
asus,TF600T,ASUS Transformer Pad TF600T,4,-25,1
asus,TF700KL,ASUS Transformer Pad TF700KL,4,-25,1
asus,TF700T,ASUS Transformer Pad TF700T,4,-25,1
asus,ASUS_Z00D,ASUS ZenFone 2,4,-25,1
asus,ASUS_Z00D,ASUS ZenFone 2E,4,-25,1
asus,anthias,ASUS ZenWatch,4,-25,1
asus,sparrow,ASUS ZenWatch 2,4,-25,1
asus,wren,ASUS ZenWatch 2,4,-25,1
asus,swift,ASUS ZenWatch 3,4,-25,1
asus,ASUS_A001,ASUS_A001,9,-25,3
asus,ASUS_A001D_2,ASUS_A001D,4,-25,1
asus,ASUS_A001D_1,ASUS_A001D,4,-25,1
asus,ASUS_A002_2,ASUS_A002,4,-25,1
asus,ASUS_A002,ASUS_A002,4,-25,1
asus,ASUS_A002_1,ASUS_A002A,4,-25,1
asus,ASUS_A006,ASUS_A006,4,-25,1
asus,ASUS_A007,ASUS_A007,4,-25,1
asus,ASUS_A009,ASUS_A009,4,-25,1
asus,ASUS_I001_1,ASUS_I001D,4,-28,3
asus,ASUS_I002D,ASUS_I002D,7,-37,3
asus,ASUS_I003_1,ASUS_I003DD,1,-32,3
asus,ASUS_I01WD,ASUS_I01WD,5,-27,3
asus,ASUS_L001_2,ASUS_L001,4,-25,1
asus,ASUS_L001_1,ASUS_L001,4,-25,1
asus,ASUS_P00I,ASUS_P00I,4,-25,1
asus,ASUS_P00J,ASUS_P00J,4,-25,1
